rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Genus,0,cnn_maxpool,7,0.058490221166148784,0.4846109978644923,0.051954385680197425,101
Genus,0,cnn_maxpool,13,0.058490221166148784,0.5060880168899242,0.05573017470759394,101
Genus,0,cnn_maxpool,21,0.058490221166148784,0.5229476072607261,0.05815975688859535,101
Genus,1,cnn_maxpool,42,0.05843681519357195,0.4845956167571761,0.05136501716750932,101
Genus,1,cnn_maxpool,123,0.05843681519357195,0.5000533359193173,0.053163013803177867,101
Genus,1,cnn_maxpool,7,0.05843681519357195,0.4918626357641583,0.052209490036892695,101
Genus,1,cnn_maxpool,13,0.05843681519357195,0.5226320064003103,0.056160831257032445,101
Genus,1,cnn_maxpool,21,0.05843681519357195,0.541658989526765,0.0593408460767961,101
Genus,2,cnn_maxpool,42,0.05823475887170155,0.47924818840579714,0.05077448938402743,101
Genus,2,cnn_maxpool,123,0.05823475887170155,0.49359842995169084,0.052816954578161615,101
Genus,2,cnn_maxpool,7,0.05823475887170155,0.4857077294685991,0.05167388301911517,101
Genus,2,cnn_maxpool,13,0.05823475887170155,0.5137638888888889,0.05547005140581024,101
Genus,2,cnn_maxpool,21,0.05823475887170155,0.53543961352657,0.05883081613154372,101
Genus,3,cnn_maxpool,42,0.05818181818181818,0.4711157697876448,0.04978289753253071,101
Genus,3,cnn_maxpool,123,0.05818181818181818,0.47433035714285715,0.05044999370395285,101
Genus,3,cnn_maxpool,7,0.05818181818181818,0.4748666747104247,0.05022790404995312,101
Genus,3,cnn_maxpool,13,0.05818181818181818,0.48697333494208495,0.05219491530091032,101
Genus,3,cnn_maxpool,21,0.05818181818181818,0.49634833494208497,0.05392778056972851,101
Genus,4,cnn_maxpool,42,0.058424425179042595,0.4816937420904465,0.05152342573820225,101
Genus,4,cnn_maxpool,123,0.058424425179042595,0.4919199876029856,0.05318350541424824,101
Genus,4,cnn_maxpool,7,0.058424425179042595,0.4897153206436117,0.05254297702739025,101
Genus,4,cnn_maxpool,13,0.058424425179042595,0.5064619437485472,0.055168209919246605,101
Genus,4,cnn_maxpool,21,0.058424425179042595,0.5175588858183321,0.05768900209439287,101
Species,0,cnn_avgpool,42,0.057973664959765914,0.4981458992067327,0.053228998665869165,202
Species,0,cnn_avgpool,123,0.057973664959765914,0.5724608924058114,0.06741676929168078,202
Species,0,cnn_avgpool,7,0.057973664959765914,0.49031519407275664,0.0526411222218419,202
