rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Noise,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9997733223429014,0.9963085054963451,42
Noise,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9992151134600465,0.9867130178283793,42
Noise,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9998036268425134,0.9967071398797329,42
Noise,2,5495,320,0.05823475887170155,tiny_mlp,42,1.0,0.9999999999999999,42
Noise,2,5495,320,0.05823475887170155,tiny_mlp,123,1.0,0.9999999999999999,42
Noise,2,5495,320,0.05823475887170155,tiny_mlp,7,1.0,1.0,42
Noise,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9999999999999999,1.0,42
Noise,2,5495,320,0.05823475887170155,tiny_mlp,21,1.0,1.0,42
Noise,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9999819015444015,0.9997002252688785,42
Noise,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9997333494208495,0.9953292204165709,42
Noise,3,5500,320,0.05818181818181818,tiny_mlp,7,0.9999831081081082,0.9997233821828533,42
Noise,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9994298986486486,0.9914104758617193,42
Noise,3,5500,320,0.05818181818181818,tiny_mlp,21,0.999706805019305,0.9951911056510462,42
Noise,4,5306,310,0.058424425179042595,tiny_mlp,42,0.9999509284847232,0.9991971115133038,42
Noise,4,5306,310,0.058424425179042595,tiny_mlp,123,0.9998669903664866,0.997786217889864,42
Noise,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9999541568738862,0.9992541178281068,42
Noise,4,5306,310,0.058424425179042595,tiny_mlp,13,0.9999192902709264,0.9987433429305053,42
Noise,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9999548025517188,0.999274033087417,42
Species,0,5468,317,0.057973664959765914,tiny_mlp,42,0.6879090581167971,0.11105801655785652,101
Species,0,5468,317,0.057973664959765914,tiny_mlp,123,0.6775726375755037,0.118465184190818,101
Species,0,5468,317,0.057973664959765914,tiny_mlp,7,0.6790124364078641,0.11473312496866953,101
Species,0,5468,317,0.057973664959765914,tiny_mlp,13,0.6829956144621698,0.1141423529542678,101
Species,0,5468,317,0.057973664959765914,tiny_mlp,21,0.6688432064583337,0.11350471155686515,101
Species,1,5473,317,0.05792070162616481,tiny_mlp,42,0.6590392376160327,0.10450139411874015,101
Species,1,5473,317,0.05792070162616481,tiny_mlp,123,0.6595189090900192,0.10791372269907462,101
Species,1,5473,317,0.05792070162616481,tiny_mlp,7,0.6621369119435749,0.10216408517499184,101
Species,1,5473,317,0.05792070162616481,tiny_mlp,13,0.6655001186942167,0.1112249986602679,101
Species,1,5473,317,0.05792070162616481,tiny_mlp,21,0.6723635811880679,0.11223960350516286,101
Species,2,5493,318,0.05789186237028946,tiny_mlp,42,0.6832084586637499,0.1255923113324262,101
Species,2,5493,318,0.05789186237028946,tiny_mlp,123,0.6832424877707897,0.1155076087821206,101
Species,2,5493,318,0.05789186237028946,tiny_mlp,7,0.6756254367575123,0.1177973822669697,101
Species,2,5493,318,0.05789186237028946,tiny_mlp,13,0.6869832588946617,0.12661890642376047,101
Species,2,5493,318,0.05789186237028946,tiny_mlp,21,0.6850022787348465,0.12596190107446914,101
Species,3,5500,320,0.05818181818181818,tiny_mlp,42,0.6697423986486487,0.09921276957626131,101
Species,3,5500,320,0.05818181818181818,tiny_mlp,123,0.6610943532818532,0.10243309151657623,101
Species,3,5500,320,0.05818181818181818,tiny_mlp,7,0.6631219835907336,0.10230858189411277,101
Species,3,5500,320,0.05818181818181818,tiny_mlp,13,0.6645149613899615,0.1060694020685406,101
Species,3,5500,320,0.05818181818181818,tiny_mlp,21,0.6528882118725869,0.10123658798180879,101
Species,4,5306,310,0.058424425179042595,tiny_mlp,42,0.6703369146930447,0.11357409474828997,101
Species,4,5306,310,0.058424425179042595,tiny_mlp,123,0.664392158888401,0.11325593612935655,101
Species,4,5306,310,0.058424425179042595,tiny_mlp,7,0.5745499625506857,0.07242735138517065,101
Species,4,5306,310,0.058424425179042595,tiny_mlp,13,0.66753467289961,0.1081798041228179,101
Species,4,5306,310,0.058424425179042595,tiny_mlp,21,0.6617448797747876,0.10981436246414575,101
Genus,0,5471,320,0.058490221166148784,tiny_mlp,42,0.8796841632692681,0.4456593627824616,101
